"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":,"K":24.96,"L":24.62}
{"A":23.39,"B":14.47,"C":16.89,"D":20.99,"E":16.28,"F":14.01,"G":17.07,"H":29.46,"R":42.18,"I":23.32,"S":AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
{"A":2.60,"B":13.50,"C":36.59,"D":44.72,"E":3.10,"F":1.40,"G":1.77,"H":2.22,"R":3.52,"I":3.97,"S":10.80,"J":2.22,"T":5.50,"U":5.67,"V":7.76,"W":7.40,"K":2.94,"L":3.94}
{"A":2.60,"B":6.75,"C":48.78,"D":28.29,"E":3.88,"F":2.10,"G":3.53,"H":2.78,"R":2.34,"I":1.98,"S":3.93,"J":1.77,"T":3.14,"U":3.24,"V":4.31,"W":4.23,"K":1.47,"L":1.97}
{"A":3.46,"B":6.75,"C":49.72,"D":24.64,"E":4.65,"F":2.10,"G":5.30,"H":3.34,"R":3.52,"I":2.98,"S":5.89,"J":2.66,"T":5.50,"U":4.86,"V":6.90,"W":6.34,"K":3.67,"L":4.92}
{"A":2.60,"B":12.54,"C":51.59,"D":50.19,"E":7.75,"F":2.80,"G":10.59,"H":5.00,"R":4.69,"I":3.97,"S":8.84,"J":3.55,"T":5.50,"U":5.67,"V":6.90,"W":5.28,"K":2.94,"L":3.94}
{"A":2.60,"B":6.75,"C":45.03,"D":35.59,"E":5.43,"F":2.10,"G":7.06,"H":3.89,"R":4.69,"I":2.98,"S":6.87,"J":2.66,"T":4.71,"U":4.86,"V":5.17,"W":5.28,"K":2.94,"L":2.95}
{"A":2.60,"B":3.86,"C":14.07,"D":5.48,"E":1.55,"F":2.10,"G":1.18,"H":2.22,"R":7.03,"I":2.48,"S":8.84,"J":2.22,"T":6.28,"U":8.91,"V":10.35,"W":11.63,"K":4.41,"L":1.97}
{"A":2.60,"B":3.86,"C":16.89,"D":7.30,"E":2.33,"F":2.10,"G":1.77,"H":2.78,"R":7.03,"I":2.48,"S":5.89,"J":3.10,"T":6.28,"U":7.29,"V":8.62,"W":10.57,"K":3.67,"L":3.94}
{"A":3.46,"B":5.79,"C":20.64,"D":11.86,"E":3.10,"F":2.80,"G":2.35,"H":3.34,"R":7.03,"I":3.97,"S":9.82,"J":3.99,"T":10.99,"U":12.15,"V":10.35,"W":12.68,"K":4.41,"L":6.89}
{"A":6.93,"B":10.61,"C":51.59,"D":20.99,"E":6.20,"F":4.90,"G":5.30,"H":8.34,"R":12.89,"I":8.44,"S":16.69,"J":8.87,"T":20.41,"U":21.86,"V":25.01,"W":26.42,"K":11.75,"L":12.80}
{"A":12.99,"B":20.25,"C":150.09,"D":29.20,"E":12.40,"F":11.20,"G":10.01,"H":18.90,"R":28.12,"I":17.86,"S":19.64,"J":15.96,"T":48.68,"U":50.20,"V":41.39,"W":52.84,"K":13.95,"L":28.56}
{"A":2.60,"B":6.75,"C":926.82,"D":12.78,"E":23.26,"F":4.90,"G":2.94,"H":3.34,"R":3.52,"I":1.98,"S":12.76,"J":3.10,"T":4.71,"U":6.48,"V":10.35,"W":8.46,"K":5.14,"L":2.95}
{"A":3.46,"B":12.54,"C":37.52,"D":335.85,"E":12.40,"F":1.40,"G":4.71,"H":5.00,"R":3.52,"I":6.45,"S":2.95,"J":1.77,"T":3.93,"U":3.24,"V":4.31,"W":4.23,"K":2.20,"L":2.95}
{"A":2.60,"B":5.79,"C":20.64,"D":24.64,"E":3.10,"F":2.10,"G":5.89,"H":3.89,"R":7.03,"I":27.29,"S":3.93,"J":3.55,"T":6.28,"U":6.48,"V":6.90,"W":9.51,"K":4.41,"L":3.94}
{"A":0.87,"B":1.93,"C":8.44,"D":2.74,"E":1.55,"F":1.40,"G":1.18,"H":1.67,"R":5.86,"I":1.49,"S":4.91,"J":1.33,"T":2.36,"U":3.24,"V":3.45,"W":4.23,"K":2.20,"L":1.97}
{"A":2.60,"B":2.89,"C":9.38,"D":5.48,"E":2.33,"F":2.10,"G":1.18,"H":2.22,"R":4.69,"I":3.47,"S":3.93,"J":2.22,"T":6.28,"U":7.29,"V":6.04,"W":7.40,"K":2.94,"L":3.94}
{"A":5.20,"B":7.72,"C":62.85,"D":13.69,"E":4.65,"F":3.50,"G":2.94,"H":5.00,"R":8.20,"I":5.46,"S":13.75,"J":5.32,"T":15.70,"U":17.00,"V":17.25,"W":17.97,"K":8.08,"L":10.83}
{"A":2.60,"B":16.39,"C":65.67,"D":15.51,"E":3.88,"F":4.90,"G":2.35,"H":3.34,"R":3.52,"I":2.98,"S":12.76,"J":3.99,"T":8.64,"U":12.15,"V":12.93,"W":12.68,"K":6.61,"L":5.91}
{"A":5.20,"B":36.65,"C":60.98,"D":414.33,"E":26.36,"F":2.80,"G":8.83,"H":8.34,"R":4.69,"I":8.44,"S":7.85,"J":2.66,"T":3.93,"U":4.86,"V":6.90,"W":6.34,"K":2.94,"L":4.92}
{"A":2.60,"B":6.75,"C":43.15,"D":36.51,"E":14.73,"F":2.10,"G":7.65,"H":3.89,"R":3.52,"I":3.47,"S":7.85,"J":1.77,"T":3.93,"U":4.05,"V":5.17,"W":4.23,"K":2.20,"L":2.95}
{"A":1.73,"B":2.89,"C":18.76,"D":5.48,"E":2.33,"F":1.40,"G":1.77,"H":2.22,"R":4.69,"I":9.43,"S":3.93,"J":2.22,"T":3.93,"U":4.86,"V":6.04,"W":6.34,"K":3.67,"L":2.95}
{"A":1.73,"B":3.86,"C":8.44,"D":16.43,"E":2.33,"F":1.40,"G":1.18,"H":2.22,"R":2.34,"I":2.48,"S":4.91,"J":2.22,"T":3.14,"U":3.24,"V":4.31,"W":4.23,"K":3.67,"L":2.95}
{"A":4.33,"B":5.79,"C":17.82,"D":8.21,"E":3.10,"F":2.80,"G":2.35,"H":3.89,"R":7.03,"I":3.97,"S":9.82,"J":4.43,"T":14.13,"U":15.38,"V":12.07,"W":13.74,"K":6.61,"L":8.86}
{"A":6.93,"B":45.33,"C":419.32,"D":62.97,"E":24.03,"F":8.40,"G":11.18,"H":8.34,"R":9.37,"I":7.44,"S":13.75,"J":8.43,"T":18.06,"U":19.43,"V":23.28,"W":22.19,"K":11.01,"L":12.80}
{"A":8.66,"B":168.77,"C":621.01,"D":271.05,"E":32.56,"F":6.30,"G":11.18,"H":8.89,"R":4.69,"I":7.94,"S":9.82,"J":5.32,"T":8.64,"U":10.53,"V":13.80,"W":12.68,"K":8.08,"L":9.85}
{"A":6.06,"B":73.29,"C":438.08,"D":387.87,"E":33.33,"F":2.80,"G":5.89,"H":6.11,"R":4.69,"I":6.95,"S":6.87,"J":2.22,"T":3.93,"U":4.05,"V":6.04,"W":5.28,"K":3.67,"L":4.92}
{"A":2.60,"B":18.32,"C":25.33,"D":500.12,"E":4.65,"F":3.50,"G":3.53,"H":5.56,"R":3.52,"I":5.95,"S":3.93,"J":1.77,"T":3.14,"U":4.05,"V":3.45,"W":5.28,"K":1.47,"L":2.95}
{"A":1.73,"B":20.25,"C":92.87,"D":30.12,"E":5.43,"F":2.80,"G":1.77,"H":2.22,"R":3.52,"I":3.47,"S":6.87,"J":1.77,"T":3.14,"U":3.24,"V":5.17,"W":5.28,"K":2.20,"L":1.97}
{"A":1.73,"B":7.72,"C":100.37,"D":12.78,"E":6.98,"F":2.10,"G":1.18,"H":2.22,"R":4.69,"I":2.98,"S":8.84,"J":1.77,"T":4.71,"U":4.86,"V":5.17,"W":6.34,"K":2.20,"L":1.97}
{"A":1.73,"B":2.89,"C":17.82,"D":5.48,"E":2.33,"F":2.80,"G":1.77,"H":2.22,"R":7.03,"I":1.98,"S":5.89,"J":2.22,"T":4.71,"U":4.86,"V":6.04,"W":6.34,"K":2.20,"L":2.95}
{"A":2.60,"B":14.47,"C":60.98,"D":18.25,"E":3.10,"F":2.80,"G":1.77,"H":2.78,"R":7.03,"I":2.98,"S":3.93,"J":2.22,"T":3.93,"U":4.86,"V":5.17,"W":5.28,"K":2.94,"L":2.95}
{"A":1.73,"B":6.75,"C":67.54,"D":9.13,"E":3.10,"F":2.80,"G":1.77,"H":2.78,"R":7.03,"I":2.48,"S":6.87,"J":2.22,"T":4.71,"U":4.05,"V":5.17,"W":5.28,"K":2.20,"L":2.95}
{"A":1.73,"B":4.82,"C":58.16,"D":8.21,"E":2.33,"F":2.10,"G":1.77,"H":2.22,"R":7.03,"I":2.48,"S":5.89,"J":1.77,"T":4.71,"U":4.05,"V":5.17,"W":5.28,"K":2.20,"L":2.95}
{"A":3.46,"B":2.89,"C":6.57,"D":2.74,"E":2.33,"F":2.80,"G":2.35,"H":3.89,"R":5.86,"I":2.48,"S":7.85,"J":4.43,"T":8.64,"U":8.10,"V":10.35,"W":19.02,"K":4.41,"L":4.92}
{"A":5.20,"B":4.82,"C":6.57,"D":4.56,"E":3.88,"F":3.50,"G":4.71,"H":7.78,"R":11.72,"I":5.46,"S":11.78,"J":5.76,"T":13.35,"U":15.38,"V":21.56,"W":21.14,"K":10.28,"L":11.82}
{"A":3.46,"B":2.89,"C":5.63,"D":3.65,"E":3.10,"F":3.50,"G":2.94,"H":4.45,"R":5.86,"I":2.98,"S":9.82,"J":5.76,"T":7.85,"U":11.34,"V":16.38,"W":22.19,"K":7.34,"L":5.91}
{"A":3.46,"B":3.86,"C":7.50,"D":3.65,"E":3.10,"F":3.50,"G":2.94,"H":4.45,"R":9.37,"I":3.47,"S":10.80,"J":4.88,"T":10.99,"U":12.95,"V":13.80,"W":17.97,"K":6.61,"L":6.89}
{"A":3.46,"B":3.86,"C":10.32,"D":4.56,"E":3.10,"F":3.50,"G":2.94,"H":4.45,"R":10.55,"I":2.98,"S":12.76,"J":5.32,"T":11.78,"U":13.76,"V":16.38,"W":17.97,"K":6.61,"L":6.89}
{"A":3.46,"B":2.89,"C":6.57,"D":2.74,"E":2.33,"F":2.80,"G":2.94,"H":3.89,"R":5.86,"I":2.98,"S":9.82,"J":3.99,"T":8.64,"U":8.91,"V":12.93,"W":13.74,"K":5.14,"L":4.92}
{"A":5.20,"B":4.82,"C":7.50,"D":3.65,"E":3.10,"F":4.20,"G":3.53,"H":5.56,"R":8.20,"I":4.47,"S":10.80,"J":7.09,"T":15.70,"U":17.81,"V":18.97,"W":23.25,"K":11.01,"L":10.83}
{"A":3.46,"B":3.86,"C":8.44,"D":4.56,"E":3.10,"F":3.50,"G":2.94,"H":5.00,"R":7.03,"I":3.47,"S":10.80,"J":6.21,"T":10.21,"U":16.19,"V":20.69,"W":23.25,"K":10.28,"L":7.88}
{"A":3.46,"B":2.89,"C":6.57,"D":4.56,"E":3.88,"F":3.50,"G":3.53,"H":5.56,"R":12.89,"I":4.47,"S":10.80,"J":6.21,"T":10.21,"U":12.15,"V":21.56,"W":17.97,"K":8.81,"L":5.91}
{"A":3.46,"B":3.86,"C":18.76,"D":6.39,"E":3.10,"F":4.20,"G":3.53,"H":6.11,"R":14.06,"I":3.97,"S":8.84,"J":6.65,"T":11.78,"U":12.95,"V":16.38,"W":16.91,"K":8.08,"L":7.88}
{"A":3.46,"B":3.86,"C":79.74,"D":5.48,"E":3.88,"F":3.50,"G":4.12,"H":6.67,"R":14.06,"I":4.47,"S":8.84,"J":6.21,"T":10.99,"U":12.15,"V":16.38,"W":16.91,"K":8.81,"L":8.86}
{"A":2.60,"B":3.86,"C":84.43,"D":6.39,"E":3.88,"F":3.50,"G":4.12,"H":6.67,"R":8.20,"I":4.47,"S":7.85,"J":5.76,"T":8.64,"U":10.53,"V":16.38,"W":14.80,"K":8.08,"L":6.89}
{"A":2.60,"B":2.89,"C":21.58,"D":6.39,"E":2.33,"F":2.10,"G":3.53,"H":4.45,"R":4.69,"I":3.47,"S":7.85,"J":3.99,"T":5.50,"U":5.67,"V":11.21,"W":10.57,"K":5.14,"L":4.92}
{"A":3.46,"B":3.86,"C":14.07,"D":7.30,"E":2.33,"F":2.10,"G":1.77,"H":3.34,"R":4.69,"I":3.47,"S":8.84,"J":2.66,"T":6.28,"U":4.86,"V":6.90,"W":6.34,"K":5.87,"L":6.89}
{"A":4.33,"B":3.86,"C":15.01,"D":8.21,"E":2.33,"F":2.10,"G":1.77,"H":2.78,"R":5.86,"I":2.98,"S":9.82,"J":2.22,"T":7.85,"U":6.48,"V":6.90,"W":9.51,"K":3.67,"L":5.91}
{"A":4.33,"B":3.86,"C":11.26,"D":8.21,"E":2.33,"F":2.10,"G":2.35,"H":2.78,"R":5.86,"I":2.48,"S":5.89,"J":2.66,"T":7.85,"U":8.10,"V":8.62,"W":9.51,"K":3.67,"L":4.92}
{"A":3.46,"B":3.86,"C":10.32,"D":5.48,"E":2.33,"F":1.40,"G":1.77,"H":2.78,"R":4.69,"I":2.98,"S":16.69,"J":2.22,"T":7.07,"U":6.48,"V":7.76,"W":9.51,"K":3.67,"L":4.92}
{"A":2.60,"B":3.86,"C":14.07,"D":7.30,"E":2.33,"F":2.10,"G":1.18,"H":2.22,"R":3.52,"I":1.98,"S":16.69,"J":2.66,"T":6.28,"U":8.10,"V":6.90,"W":9.51,"K":3.67,"L":4.92}
{"A":4.33,"B":4.82,"C":16.89,"D":8.21,"E":2.33,"F":1.40,"G":1.77,"H":2.78,"R":4.69,"I":2.98,"S":7.85,"J":2.22,"T":10.21,"U":8.91,"V":7.76,"W":7.40,"K":4.41,"L":6.89}
{"A":2.60,"B":3.86,"C":20.64,"D":9.13,"E":2.33,"F":2.10,"G":1.77,"H":2.78,"R":4.69,"I":2.98,"S":20.62,"J":2.66,"T":7.85,"U":8.10,"V":7.76,"W":8.46,"K":4.41,"L":4.92}
{"A":2.60,"B":2.89,"C":13.13,"D":6.39,"E":2.33,"F":2.10,"G":1.77,"H":2.78,"R":4.69,"I":2.48,"S":9.82,"J":2.66,"T":6.28,"U":7.29,"V":6.90,"W":8.46,"K":3.67,"L":3.94}
{"A":1.73,"B":2.89,"C":9.38,"D":4.56,"E":2.33,"F":2.10,"G":2.35,"H":2.78,"R":5.86,"I":2.98,"S":8.84,"J":3.55,"T":6.28,"U":8.10,"V":10.35,"W":11.63,"K":4.41,"L":3.94}
{"A":1.73,"B":2.89,"C":47.84,"D":3.65,"E":1.55,"F":1.40,"G":1.77,"H":2.78,"R":5.86,"I":1.98,"S":4.91,"J":2.22,"T":3.93,"U":4.05,"V":6.04,"W":6.34,"K":2.20,"L":2.95}
{"A":1.73,"B":2.89,"C":14.07,"D":4.56,"E":1.55,"F":2.10,"G":1.77,"H":2.22,"R":5.86,"I":1.98,"S":11.78,"J":2.22,"T":4.71,"U":4.86,"V":6.04,"W":8.46,"K":2.94,"L":2.95}
{"A":1.73,"B":2.89,"C":16.89,"D":4.56,"E":1.55,"F":1.40,"G":1.77,"H":2.22,"R":5.86,"I":1.49,"S":7.85,"J":2.66,"T":3.93,"U":4.86,"V":6.90,"W":8.46,"K":2.94,"L":1.97}
{"A":1.73,"B":2.89,"C":14.07,"D":4.56,"E":1.55,"F":2.10,"G":1.77,"H":2.22,"R":5.86,"I":1.49,"S":5.89,"J":2.66,"T":3.93,"U":4.86,"V":6.90,"W":8.46,"K":2.20,"L":1.97}
{"A":1.73,"B":3.86,"C":18.76,"D":8.21,"E":1.55,"F":2.10,"G":1.77,"H":2.78,"R":8.20,"I":1.98,"S":11.78,"J":2.66,"T":4.71,"U":5.67,"V":6.90,"W":11.63,"K":2.20,"L":2.95}
{"A":1.73,"B":2.89,"C":12.20,"D":4.56,"E":1.55,"F":2.10,"G":1.77,"H":2.78,"R":5.86,"I":1.98,"S":6.87,"J":2.66,"T":4.71,"U":5.67,"V":6.90,"W":8.46,"K":2.94,"L":2.95}
{"A":1.73,"B":2.89,"C":16.89,"D":7.30,"E":2.33,"F":2.10,"G":3.53,"H":4.45,"R":4.69,"I":2.48,"S":11.78,"J":3.55,"T":4.71,"U":6.48,"V":8.62,"W":11.63,"K":3.67,"L":2.95}
{"A":2.60,"B":2.89,"C":15.95,"D":7.30,"E":2.33,"F":1.40,"G":1.77,"H":3.34,"R":4.69,"I":4.47,"S":11.78,"J":2.66,"T":5.50,"U":5.67,"V":7.76,"W":8.46,"K":3.67,"L":5.91}
{"A":2.60,"B":2.89,"C":17.82,"D":7.30,"E":2.33,"F":1.40,"G":2.94,"H":5.00,"R":4.69,"I":3.47,"S":14.73,"J":3.99,"T":4.71,"U":5.67,"V":7.76,"W":9.51,"K":5.14,"L":5.91}
{"A":3.46,"B":2.89,"C":14.07,"D":8.21,"E":3.10,"F":2.10,"G":4.12,"H":5.56,"R":7.03,"I":3.97,"S":15.71,"J":4.88,"T":7.07,"U":8.10,"V":12.93,"W":13.74,"K":5.87,"L":4.92}
{"A":3.46,"B":3.86,"C":18.76,"D":8.21,"E":3.10,"F":2.80,"G":4.71,"H":6.11,"R":8.20,"I":3.97,"S":16.69,"J":7.09,"T":7.85,"U":9.72,"V":12.93,"W":15.85,"K":5.14,"L":5.91}
